Player,Nation,Pos,Age,MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance GA,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxGxAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes GA,Per 90 Minutes G-PK,Per 90 Minutes GA-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xGxAG,Per 90 Minutes npxG,Per 90 Minutes npxGxAG,Matches
Juninho,br BRA,FW,28-330,11,2,279,3.1,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1.0,0,4,21,0.00,0.00,0.00,0.00,0.00,0.26,0.07,0.33,0.26,0.33,Matches
Matías Viña,uy URU,DF,27-342,7,2,278,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,9,13,17,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches
Wallace,br BRA,"FW,MF",20-251,11,1,204,2.3,1,2,3,1,0,0,5,1,0.5,0.5,0.9,1.3,10,7,30,0.44,0.88,1.32,0.44,1.32,0.20,0.38,0.58,0.20,0.58,Matches
Cleiton,br BRA,DF,22-175,2,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matheus Gonçalves,br BRA,FW,20-060,4,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,3,8,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
Victor Hugo,br BRA,MF,21-159,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Dyogo Alves,br BRA,GK,21-281,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Alves,br BRA,MF,20-202,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matheus Cunha,br BRA,GK,24-146,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Guilherme,br BRA,MF,19-257,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Iago,br BRA,DF,20-182,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Joshua,br BRA,MF,18-144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lorran,br BRA,FW,19-105,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucio,br BRA,MF,18-188,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Leonardo Nannetti Lopes,br BRA,GK,18-057,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniel Sales,br BRA,DF,19-116,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ogundana Shola,ng NGA,FW,20-237,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Victor,br BRA,DF,18-289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
