Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance GA,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxGxAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes GA,Per 90 Minutes G-PK,Per 90 Minutes GA-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xGxAG,Per 90 Minutes npxG,Per 90 Minutes npxGxAG,Matches
Everton Soares,br BRA,FW,29-212,24,10,898.0,10.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.7,1.7,0.7,2.4,37.0,30.0,93.0,0.1,0.1,0.2,0.1,0.2,0.19,0.07,0.26,0.19,0.26,Matches
Emerson,br BRA,DF,26-279,10,9,752.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.7,16.0,36.0,65.0,0.12,0.0,0.12,0.12,0.12,0.03,0.06,0.08,0.03,0.08,Matches
Michael,br BRA,FW,29-222,17,8,660.0,7.3,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,2.3,3.8,22.0,29.0,102.0,0.14,0.41,0.55,0.14,0.55,0.22,0.34,0.56,0.22,0.56,Matches
Juninho,br BRA,FW,28-333,16,4,471.0,5.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,1.8,0.3,2.1,1.0,5.0,35.0,0.19,0.0,0.19,0.19,0.19,0.35,0.06,0.41,0.35,0.41,Matches
Jorge Carrascal,co COL,MF,27-148,11,4,455.0,5.1,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,1.2,1.2,0.8,2.0,13.0,23.0,31.0,0.2,0.79,0.99,0.2,0.99,0.26,0.17,0.43,0.26,0.43,Matches
Wallace,br BRA,MF.FW,20-254,18,1,293.0,3.3,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,0.5,0.5,0.9,1.4,10.0,13.0,38.0,0.92,0.61,1.54,0.92,1.54,0.19,0.33,0.51,0.19,0.51,Matches
Matías Viña,uy URU,DF.MF,27-345,8,2,287.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,9.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08,Matches
Cleiton,br BRA,DF,22-178,2,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Gonçalves,br BRA,FW,20-063,5,0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches
Victor Hugo,br BRA,MF,21-162,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
João Victor,br BRA,DF,18-292,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonardo Nannetti Lopes,br BRA,GK,18-060,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucio,br BRA,MF,18-191,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ogundana Shola,ng NGA,FW,20-240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Guilherme,br BRA,MF,19-260,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Iago,br BRA,DF,20-185,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Joshua,br BRA,MF,18-147,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Alves,br BRA,MF,20-205,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lorran,br BRA,FW,19-108,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Dyogo Alves,br BRA,GK,21-284,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniel Sales,br BRA,DF,19-119,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matheus Cunha,br BRA,GK,24-149,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
